,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
76,BRKR,Bruker Corporation,12.68B,-0.25%,63522,2.96B
77,RDY,Dr. Reddy's Laboratories Limited,12.62B,0.51%,22337,2.99B
78,KRTX,"Karuna Therapeutics, Inc.",12.60B,-,1868526,654.00K
79,MEDP,"Medpace Holdings, Inc.",12.20B,-0.31%,31142,1.89B
80,SNN,Smith & Nephew plc,12.13B,-0.70%,78472,5.55B
81,DVA,DaVita Inc.,11.93B,0.83%,80907,12.14B
82,UHS,"Universal Health Services, Inc.",11.69B,0.50%,76397,14.28B
83,LEGN,Legend Biotech Corporation,11.67B,-0.03%,243972,285.14M
84,FMS,Fresenius Medical Care AG & Co. KGaA,11.60B,0.13%,78643,21.62B
85,PODD,Insulet Corporation,11.60B,1.19%,71917,1.70B
86,SRPT,"Sarepta Therapeutics, Inc.",11.55B,1.36%,59873,1.24B
87,TECH,Bio-Techne Corporation,11.40B,-1.79%,112815,1.14B
88,UTHR,United Therapeutics Corporation,11.10B,-2.24%,60169,2.33B
89,NTRA,"Natera, Inc.",10.81B,-0.35%,50285,1.08B
90,RGEN,Repligen Corporation,10.59B,0.55%,28026,638.76M
91,EXAS,Exact Sciences Corporation,10.48B,0.04%,138628,2.50B
92,SWAV,"ShockWave Medical, Inc.",10.25B,0.72%,33421,730.23M
93,CTLT,"Catalent, Inc.",10.16B,-0.02%,216451,4.10B
94,TFX,Teleflex Incorporated,10.14B,-0.09%,19811,2.97B
95,THC,Tenet Healthcare Corporation,9.88B,0.16%,71605,20.56B
96,CHE,Chemed Corporation,9.78B,0.83%,9871,2.26B
97,QGEN,Qiagen N.V.,9.75B,0.05%,68190,1.97B
98,HSIC,"Henry Schein, Inc.",9.58B,-0.82%,27787,12.34B
99,BIO.B,"Bio-Rad Laboratories, Inc.",9.50B,1.70%,6,-
100,BIO,"Bio-Rad Laboratories, Inc.",9.50B,-0.17%,10854,2.67B
101,ATR,"AptarGroup, Inc.",9.31B,-0.42%,15099,3.49B
102,PEN,"Penumbra, Inc.",8.60B,2.77%,59179,1.06B
103,ASND,Ascendis Pharma A/S,8.42B,0.74%,19899,296.35M
104,ROIV,Roivant Sciences Ltd.,8.17B,-1.73%,771807,123.24M
105,STVN,Stevanato Group S.p.A.,7.96B,-0.50%,72239,1.21B
106,ELAN,Elanco Animal Health Incorporated,7.75B,1.11%,512359,4.42B
107,CERE,"Cerevel Therapeutics Holdings, Inc.",7.69B,0.52%,267498,-
108,PCVX,"Vaxcyte, Inc.",7.56B,-0.47%,61783,-
109,JAZZ,Jazz Pharmaceuticals plc,7.54B,0.19%,40617,3.83B
110,EHC,Encompass Health Corporation,7.49B,1.32%,41045,4.80B
111,ACHC,"Acadia Healthcare Company, Inc.",7.18B,0.60%,37697,2.93B
112,MASI,Masimo Corporation,7.02B,0.02%,24837,2.05B
113,HQY,"HealthEquity, Inc.",6.99B,1.51%,49336,971.04M
114,EXEL,"Exelixis, Inc.",6.97B,0.89%,259231,1.83B
115,GMED,"Globus Medical, Inc.",6.96B,2.45%,328196,1.57B
116,ENSG,"The Ensign Group, Inc.",6.95B,0.13%,9039,3.73B
117,APLS,"Apellis Pharmaceuticals, Inc.",6.84B,-0.86%,70247,396.59M
118,XRAY,DENTSPLY SIRONA Inc.,6.81B,0.12%,115731,3.97B
119,VKTX,"Viking Therapeutics, Inc.",6.75B,2.21%,1446441,-
120,CYTK,"Cytokinetics, Incorporated",6.71B,-1.38%,191240,7.53M
121,ITCI,"Intra-Cellular Therapies, Inc.",6.27B,0.60%,61091,464.37M
122,IONS,"Ionis Pharmaceuticals, Inc.",6.20B,-0.40%,51560,787.65M
123,CRSP,CRISPR Therapeutics AG,5.86B,-1.86%,249189,371.21M
124,INSP,"Inspire Medical Systems, Inc.",5.70B,1.30%,35224,624.80M
125,RCM,R1 RCM Inc.,5.68B,-0.89%,154257,2.25B
126,BLCO,Bausch + Lomb Corporation,5.67B,-0.63%,7505,4.15B
127,BPMC,Blueprint Medicines Corporation,5.54B,-1.14%,111404,249.38M
128,OPCH,"Option Care Health, Inc.",5.42B,1.47%,66451,4.30B
129,MDGL,"Madrigal Pharmaceuticals, Inc.",5.38B,7.23%,271161,-
130,RVMD,"Revolution Medicines, Inc.",5.24B,-0.91%,147499,11.58M
131,DOCS,"Doximity, Inc.",5.20B,-0.39%,102842,468.33M
132,HALO,"Halozyme Therapeutics, Inc.",5.18B,-0.02%,80324,829.25M
133,NUVL,"Nuvalent, Inc.",5.18B,-2.07%,38305,-
134,BBIO,"BridgeBio Pharma, Inc.",5.08B,-0.15%,182371,9.30M
135,GRFS,"Grifols, S.A.",4.98B,-2.28%,290011,6.45B
136,KRYS,"Krystal Biotech, Inc.",4.89B,-3.35%,78560,50.70M
137,ALKS,Alkermes plc,4.80B,-3.13%,397244,1.66B
138,OGN,Organon & Co.,4.67B,-1.94%,263523,6.26B
139,BHVN,Biohaven Pharmaceutical Holding Company Ltd.,4.66B,2.02%,100653,-
140,IMVT,"Immunovant, Inc.",4.44B,-1.57%,108195,-
141,TXG,"10x Genomics, Inc.",4.33B,-1.02%,149212,618.73M
142,GKOS,Glaukos Corporation,4.23B,1.18%,40515,314.71M
143,MMSI,"Merit Medical Systems, Inc.",4.16B,-0.04%,23474,1.26B
144,PRGO,Perrigo Company plc,4.12B,-0.07%,101813,4.66B
145,SHC,Sotera Health Company,4.11B,-0.41%,103701,1.05B
146,ALVO,Alvotech,4.07B,-0.39%,7769,63.75M
147,LNTH,"Lantheus Holdings, Inc.",3.99B,-1.51%,88753,1.30B
148,RARE,Ultragenyx Pharmaceutical Inc.,3.90B,0.25%,65351,434.25M
149,IOVA,"Iovance Biotherapeutics, Inc.",3.89B,0.72%,1222690,1.19M
150,INSM,Insmed Incorporated,3.82B,-0.27%,174812,305.21M
151,ITGR,Integer Holdings Corporation,3.80B,0.17%,8709,1.60B
152,HAE,Haemonetics Corporation,3.80B,0.28%,26233,1.27B
153,ACLX,"Arcellx, Inc.",3.73B,-2.32%,66387,110.32M
154,CBAY,"CymaBay Therapeutics, Inc.",3.72B,0.08%,339079,31.07M
155,EVH,"Evolent Health, Inc.",3.72B,-0.64%,46197,1.96B
156,SWTX,"SpringWorks Therapeutics, Inc.",3.71B,-1.13%,177606,5.45M
157,PBH,Prestige Consumer Healthcare Inc.,3.71B,0.10%,15274,1.13B
158,NVST,Envista Holdings Corporation,3.66B,-0.66%,197712,2.57B
159,SEM,Select Medical Holdings Corporation,3.65B,0.12%,28409,6.66B
160,SGRY,"Surgery Partners, Inc.",3.60B,-0.18%,46046,2.74B
161,AXSM,"Axsome Therapeutics, Inc.",3.58B,-2.03%,76065,270.60M
162,ARWR,"Arrowhead Pharmaceuticals, Inc.",3.50B,-2.51%,124942,181.74M
163,AXNX,"Axonics, Inc.",3.46B,0.03%,34001,366.38M
164,IBRX,"ImmunityBio, Inc.",3.44B,1.36%,731986,556.00K
165,PGNY,"Progyny, Inc.",3.39B,2.09%,48973,1.09B
166,FOLD,"Amicus Therapeutics, Inc.",3.39B,1.70%,411626,399.36M
167,BHC,Bausch Health Companies Inc.,3.36B,1.25%,173736,8.76B
168,AZTA,"Azenta, Inc.",3.32B,-0.43%,36884,641.02M
169,XENE,Xenon Pharmaceuticals Inc.,3.32B,-1.69%,37329,-
170,IDYA,"IDEAYA Biosciences, Inc.",3.30B,-1.33%,61217,23.39M
171,NEOG,Neogen Corporation,3.29B,0.13%,127738,918.68M
172,RDNT,"RadNet, Inc.",3.28B,1.64%,60483,1.62B
173,SMMT,Summit Therapeutics Inc.,3.24B,-10.50%,550027,-
174,QDEL,QuidelOrtho Corporation,3.24B,-0.58%,55152,3.00B
175,OSCR,"Oscar Health, Inc.",3.18B,0.25%,210133,5.86B
176,IRTC,"iRhythm Technologies, Inc.",3.16B,-0.28%,24727,492.68M
177,ARVN,"Arvinas, Inc.",3.05B,-3.41%,62056,78.50M
178,ACAD,ACADIA Pharmaceuticals Inc.,3.04B,-1.30%,158074,726.44M
179,AMED,"Amedisys, Inc.",3.04B,0.19%,23922,2.24B
180,CRNX,"Crinetics Pharmaceuticals, Inc.",3.03B,-3.21%,68099,4.01M
181,IMCR,Immunocore Holdings plc,3.03B,-1.10%,113177,249.43M
182,HCM,HUTCHMED (China) Limited,3.01B,-1.25%,23953,838.00M
183,OLK,Olink Holding AB (publ),2.98B,0.04%,26254,158.93M
184,MLTX,MoonLake Immunotherapeutics,2.97B,3.03%,79675,-
185,CERT,"Certara, Inc.",2.95B,-0.76%,38396,354.34M
186,BEAM,Beam Therapeutics Inc.,2.89B,-2.82%,111999,377.71M
187,INDV,Indivior PLC,2.84B,-,9344,1.09B
188,DNLI,Denali Therapeutics Inc.,2.80B,-0.37%,117924,330.53M
189,CLDX,"Celldex Therapeutics, Inc.",2.76B,-0.74%,59266,6.88M
190,LIVN,LivaNova PLC,2.73B,-0.42%,7321,1.15B
191,GDRX,"GoodRx Holdings, Inc.",2.73B,-1.88%,90985,750.27M
192,NTLA,"Intellia Therapeutics, Inc.",2.72B,-3.80%,238733,36.28M
193,MOR,MorphoSys AG,2.72B,0.78%,65278,264.75M
194,IART,Integra LifeSciences Holdings Corporation,2.71B,-0.61%,75455,1.54B
195,RXRX,"Recursion Pharmaceuticals, Inc.",2.63B,1.52%,4858882,44.58M
196,CGON,"CG Oncology, Inc.",2.58B,0.49%,29479,191.00K
197,MRUS,Merus N.V.,2.56B,0.23%,59371,43.95M
198,EVO,Evotec SE,2.54B,4.21%,27015,-
199,PINC,"Premier, Inc.",2.53B,-0.38%,199690,1.32B
200,TDOC,"Teladoc Health, Inc.",2.53B,-1.36%,473850,2.60B
201,FTRE,Fortrea Holdings Inc.,2.49B,1.30%,72367,3.11B
202,TMDX,"TransMedics Group, Inc.",2.48B,-1.61%,154230,241.62M
203,KYMR,"Kymera Therapeutics, Inc.",2.48B,-0.99%,120455,78.59M
204,PDCO,"Patterson Companies, Inc.",2.44B,-1.07%,79437,6.57B
205,RCKT,"Rocket Pharmaceuticals, Inc.",2.43B,-1.06%,73580,-
206,PRCT,PROCEPT BioRobotics Corporation,2.43B,0.07%,47541,136.19M
207,KROS,"Keros Therapeutics, Inc.",2.42B,-1.24%,27118,151.00K
208,LFST,"LifeStance Health Group, Inc.",2.42B,-1.49%,116386,1.06B
209,PRVA,"Privia Health Group, Inc.",2.41B,-0.71%,74665,1.66B
210,RYTM,"Rhythm Pharmaceuticals, Inc.",2.41B,0.75%,58780,77.43M
211,CORT,Corcept Therapeutics Incorporated,2.40B,1.14%,70898,482.38M
212,ALPN,"Alpine Immune Sciences, Inc.",2.38B,-3.33%,90810,30.80M
213,CNMD,CONMED Corporation,2.38B,-1.35%,65625,1.24B
214,ICUI,"ICU Medical, Inc.",2.37B,0.30%,30840,2.26B
215,NARI,"Inari Medical, Inc.",2.36B,-0.25%,68448,493.63M
216,NMRA,"Neumora Therapeutics, Inc.",2.35B,-3.31%,270073,-
217,TGTX,"TG Therapeutics, Inc.",2.35B,-3.91%,654187,233.66M
218,DNA,"Ginkgo Bioworks Holdings, Inc.",2.32B,-1.39%,6166638,251.46M
219,VERA,"Vera Therapeutics, Inc.",2.32B,-2.20%,69324,-
220,DYN,"Dyne Therapeutics, Inc.",2.29B,-3.79%,306552,-
221,GLPG,Galapagos NV,2.28B,-0.71%,18057,-
222,PTCT,"PTC Therapeutics, Inc.",2.26B,-1.76%,43810,937.82M
223,AMN,"AMN Healthcare Services, Inc.",2.22B,3.80%,86292,3.79B
224,AGL,"agilon health, inc.",2.18B,-1.69%,440318,4.32B
225,GH,"Guardant Health, Inc.",2.16B,-0.82%,231800,563.95M
226,VCEL,Vericel Corporation,2.14B,-1.38%,26571,197.52M
227,AMPH,"Amphastar Pharmaceuticals, Inc.",2.07B,-0.21%,41485,644.40M
228,JANX,"Janux Therapeutics, Inc.",2.04B,-3.42%,20416,8.08M
229,SNDX,"Syndax Pharmaceuticals, Inc.",2.00B,-3.32%,120084,-
230,NAMS,NewAmsterdam Pharma Company N.V.,1.97B,-0.93%,6329,15.66M
231,AGE,"AgeX Therapeutics, Inc.",1.96B,-20.91%,5276,94.00K
232,SANA,"Sana Biotechnology, Inc.",1.96B,-0.34%,174156,-
233,OMI,"Owens & Minor, Inc.",1.95B,-0.12%,45797,10.33B
234,RNA,"Avidity Biosciences, Inc.",1.95B,-1.45%,495923,9.56M
235,TWST,Twist Bioscience Corporation,1.94B,-0.54%,143045,262.36M
236,MRVI,"Maravai LifeSciences Holdings, Inc.",1.94B,4.81%,553799,288.95M
237,MYGN,"Myriad Genetics, Inc.",1.90B,0.59%,62348,753.20M
238,AKRO,"Akero Therapeutics, Inc.",1.90B,-4.68%,131134,-
239,CPRX,"Catalyst Pharmaceuticals, Inc.",1.89B,0.44%,156491,398.20M
240,ARDX,"Ardelyx, Inc.",1.88B,-1.79%,713091,124.46M
241,SDGR,"Schrödinger, Inc.",1.88B,0.73%,77456,216.67M
242,TNDM,"Tandem Diabetes Care, Inc.",1.88B,2.80%,288539,747.72M
243,NEO,"NeoGenomics, Inc.",1.87B,0.07%,79821,591.64M
244,ZLAB,Zai Lab Limited,1.87B,-1.98%,38757,266.72M
245,ASTH,"Astrana Health, Inc.",1.86B,-0.46%,8663,1.39B
246,STAA,STAAR Surgical Company,1.84B,0.74%,45247,322.42M
247,GERN,Geron Corporation,1.83B,-2.83%,9806480,237.00K
248,HRMY,"Harmony Biosciences Holdings, Inc.",1.82B,-1.77%,48295,582.02M
249,ATEC,"Alphatec Holdings, Inc.",1.81B,-0.34%,140324,482.26M
250,SUPN,"Supernus Pharmaceuticals, Inc.",1.81B,1.64%,24827,607.52M
251,INMD,InMode Ltd.,1.76B,-0.57%,185981,492.05M
252,PROK,ProKidney Corp.,1.76B,-0.35%,27522,-
253,RXST,"RxSight, Inc.",1.75B,1.24%,58223,89.08M
254,MORF,"Morphic Holding, Inc.",1.73B,-2.82%,57472,521.00K
255,RCUS,"Arcus Biosciences, Inc.",1.72B,-4.24%,75992,117.00M
256,KURA,"Kura Oncology, Inc.",1.70B,-3.63%,112228,-
257,PTGX,"Protagonist Therapeutics, Inc.",1.69B,-1.45%,68831,60.00M
258,AMRX,"Amneal Pharmaceuticals, Inc.",1.69B,1.27%,163074,2.39B
259,AGIO,"Agios Pharmaceuticals, Inc.",1.68B,-3.07%,42816,26.82M
260,INBX,"Inhibrx, Inc.",1.66B,-0.11%,88276,1.80M
261,GPCR,Structure Therapeutics Inc.,1.64B,0.26%,88597,-
262,APGE,"Apogee Therapeutics, Inc.",1.62B,-0.28%,74579,-
263,USPH,"U.S. Physical Therapy, Inc.",1.61B,0.67%,2741,604.80M
264,VCYT,"Veracyte, Inc.",1.58B,0.52%,111456,361.05M
265,TARO,Taro Pharmaceutical Industries Ltd.,1.58B,-0.50%,10233,610.83M
266,EWTX,"Edgewise Therapeutics, Inc.",1.58B,-5.53%,164066,-
267,DVAX,Dynavax Technologies Corporation,1.57B,-2.03%,256434,232.28M
268,ADUS,Addus HomeCare Corporation,1.57B,0.55%,2238,1.06B
269,FDMT,"4D Molecular Therapeutics, Inc.",1.57B,-0.70%,76443,20.72M
270,ATRC,"AtriCure, Inc.",1.53B,-1.52%,31130,399.25M
271,NVCR,NovoCure Limited,1.50B,0.79%,107467,509.34M
272,LMAT,"LeMaitre Vascular, Inc.",1.49B,0.60%,4966,193.48M
273,IRON,"Disc Medicine, Inc.",1.49B,1.31%,34034,-
274,UFPT,"UFP Technologies, Inc.",1.48B,0.07%,3885,400.07M
275,BTSG,"BrightSpring Health Services, Inc.",1.48B,4.73%,156638,8.83B
276,VIR,"Vir Biotechnology, Inc.",1.45B,-0.88%,97546,86.18M
277,AVDL,Avadel Pharmaceuticals plc,1.44B,1.01%,44253,27.96M
278,NHC,National HealthCare Corporation,1.42B,-0.10%,4901,1.14B
279,IRWD,"Ironwood Pharmaceuticals, Inc.",1.41B,-1.61%,571745,442.74M
280,KNSA,"Kiniksa Pharmaceuticals, Ltd.",1.41B,-2.00%,21602,270.26M
281,XNCR,"Xencor, Inc.",1.41B,-2.82%,72492,168.34M
282,SLNO,"Soleno Therapeutics, Inc.",1.41B,0.69%,73399,-
283,OCUL,"Ocular Therapeutix, Inc.",1.41B,-3.44%,319193,58.44M
284,PRTA,Prothena Corporation plc,1.40B,-4.33%,103487,91.37M
285,ANIP,"ANI Pharmaceuticals, Inc.",1.39B,0.08%,21368,486.82M
286,WRBY,Warby Parker Inc.,1.39B,-1.02%,89401,669.77M
287,ABCL,AbCellera Biologics Inc.,1.38B,-3.72%,227140,38.03M
288,PCRX,"Pacira BioSciences, Inc.",1.37B,-0.39%,31513,674.98M
289,ADMA,"ADMA Biologics, Inc.",1.37B,-,294158,258.22M
290,AHCO,AdaptHealth Corp.,1.37B,-3.06%,152354,3.20B
291,AUTL,Autolus Therapeutics plc,1.35B,1.20%,68839,5.52M
292,AGTI,"Agiliti, Inc.",1.35B,-0.05%,63099,1.17B
293,PHR,"Phreesia, Inc.",1.34B,-5.64%,57669,356.30M
294,ESTA,Establishment Labs Holdings Inc.,1.33B,-0.31%,12403,165.15M
295,TLRY,"Tilray Brands, Inc.",1.31B,7.80%,18526278,700.50M
296,IMNM,"Immunome, Inc.",1.29B,-0.09%,50749,10.19M
297,OMCL,"Omnicell, Inc.",1.27B,-0.94%,25173,1.15B
298,VRNA,Verona Pharma plc,1.26B,-0.51%,34788,-
299,ETNB,"89bio, Inc.",1.26B,-3.96%,177125,-
300,DCPH,"Deciphera Pharmaceuticals, Inc.",1.26B,-4.36%,60314,163.36M
301,LGND,Ligand Pharmaceuticals Incorporated,1.26B,-0.45%,25311,-
302,DAWN,"Day One Biopharmaceuticals, Inc.",1.26B,-2.29%,62848,-
303,PHVS,Pharvaris N.V.,1.26B,-0.13%,6770,-
304,COLL,"Collegium Pharmaceutical, Inc.",1.25B,-0.17%,50002,566.77M
305,MIRM,"Mirum Pharmaceuticals, Inc.",1.25B,-2.13%,93480,186.37M
306,IMTX,Immatics N.V.,1.24B,-1.54%,66516,80.56M
307,ARQT,"Arcutis Biotherapeutics, Inc.",1.23B,-5.58%,536415,59.61M
308,KYTX,"Kyverna Therapeutics, Inc.",1.21B,0.24%,13090,7.03M
309,LQDA,Liquidia Corporation,1.21B,0.50%,195066,17.49M
310,MNKD,MannKind Corporation,1.21B,1.68%,271951,198.96M
311,SAGE,"Sage Therapeutics, Inc.",1.20B,-3.51%,272146,86.46M
312,TARS,"Tarsus Pharmaceuticals, Inc.",1.18B,-2.44%,64508,17.45M
313,MDXG,"MiMedx Group, Inc.",1.16B,-0.57%,117895,321.48M
314,VERV,"Verve Therapeutics, Inc.",1.15B,-6.08%,159902,11.76M
315,BLTE,"Belite Bio, Inc",1.14B,0.13%,8869,-
316,BKD,Brookdale Senior Living Inc.,1.14B,0.17%,188498,3.02B
317,SLN,Silence Therapeutics plc,1.11B,1.40%,10557,32.12M
318,RGNX,REGENXBIO Inc.,1.09B,-1.40%,43785,90.24M
319,VRDN,"Viridian Therapeutics, Inc.",1.07B,-3.69%,89561,314.00K
320,EYPT,"EyePoint Pharmaceuticals, Inc.",1.07B,-0.23%,127922,46.02M
321,CNTA,Centessa Pharmaceuticals plc,1.05B,-0.14%,25037,-
322,RLAY,"Relay Therapeutics, Inc.",1.04B,-3.14%,118078,25.55M
323,SRRK,Scholar Rock Holding Corporation,1.04B,-3.32%,115441,-
324,BCRX,"BioCryst Pharmaceuticals, Inc.",1.03B,0.50%,554554,331.41M
325,ORIC,"ORIC Pharmaceuticals, Inc.",1.02B,-4.30%,77059,-
326,ZNTL,"Zentalis Pharmaceuticals, Inc.",1.02B,-2.93%,60477,-
327,PACB,"Pacific Biosciences of California, Inc.",1.02B,-2.11%,1121723,200.52M
328,QTRX,Quanterix Corporation,1.01B,-1.62%,44637,122.37M
329,MGNX,"MacroGenics, Inc.",994.54M,-3.52%,159763,58.75M
330,SYRE,"Spyre Therapeutics, Inc.",990.58M,-4.68%,138964,886.00K
331,ARCT,Arcturus Therapeutics Holdings Inc.,977.29M,-5.29%,131775,166.80M
332,NRC,National Research Corporation,947.02M,0.97%,4552,148.58M
333,TVGN,Tevogen Bio Holdings Inc,945.50M,1.30%,10631,-
334,ALHC,"Alignment Healthcare, Inc.",943.00M,-4.41%,138458,1.82B
335,CRGX,"CARGO Therapeutics, Inc.",941.12M,-15.19%,104316,-
336,INVA,"Innoviva, Inc.",939.56M,0.61%,66642,310.46M
337,DH,Definitive Healthcare Corp.,928.83M,-0.13%,14414,251.42M
338,TNGX,"Tango Therapeutics, Inc.",920.97M,-4.87%,118566,37.51M
339,SAVA,"Cassava Sciences, Inc.",920.26M,-0.73%,72686,-
340,TYRA,"Tyra Biosciences, Inc.",916.03M,-3.66%,40621,-
341,PLRX,"Pliant Therapeutics, Inc.",915.03M,-1.58%,31615,1.58M
342,CTKB,"Cytek Biosciences, Inc.",909.23M,-5.18%,157458,193.02M
343,BCYC,Bicycle Therapeutics plc,900.04M,-0.15%,28077,26.98M
344,HCSG,"Healthcare Services Group, Inc.",890.36M,-0.33%,36037,1.67B
345,AVNS,"Avanos Medical, Inc.",882.02M,-0.42%,13765,673.30M
346,SPRY,"ARS Pharmaceuticals, Inc.",879.33M,1.15%,148850,1.35M
347,HLVX,"HilleVax, Inc.",871.87M,-1.22%,5501,-
348,SLP,"Simulations Plus, Inc.",860.38M,-1.81%,4056,62.11M
349,PRME,"Prime Medicine, Inc.",858.76M,-4.54%,66699,-
350,EOLS,"Evolus, Inc.",854.82M,-0.50%,32815,202.09M
351,ATXS,"Astria Therapeutics, Inc.",848.80M,2.65%,261130,-
352,EXAI,Exscientia plc,824.60M,-1.06%,189977,29.47M
353,AORT,"Artivion, Inc.",814.20M,-0.18%,11602,354.00M
354,CABA,"Cabaletta Bio, Inc.",803.00M,-3.95%,128774,-
355,CRON,Cronos Group Inc.,802.63M,2.38%,1024125,87.24M
356,MD,"Pediatrix Medical Group, Inc.",797.49M,-3.16%,54844,1.99B
357,WVE,Wave Life Sciences Ltd.,794.85M,-7.92%,477364,113.31M
